Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,COGS unit,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,75.4 $,8,33.512,703.752,1/10/2019,14:49,Cash,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,82.09 $,2,9.658,202.818,3/15/2019,10:12,Credit card,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,95.44 $,4,19.884,417.564,2/6/2019,10:42,Ewallet,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,61.99 $,1,3.406,71.526,1/7/2019,12:28,Ewallet,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,52.6 $,5,15.655,328.755,3/10/2019,19:15,Ewallet,7.0
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,51.14 $,9,27.396,575.316,1/15/2019,17:17,Ewallet,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,48.88 $,8,21.968,461.328,3/23/2019,13:24,Ewallet,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,,28.61 $,8,12.048,253.008,3/3/2019,13:01,Cash,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,74.58 $,1,4.336,91.056,1/17/2019,18:45,Ewallet,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,48.25 $,2,5.611,117.831,2/2/2019,10:11,Cash,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,64.28 $,6,20.736,435.456,2/8/2019,13:03,Cash,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,91.79 $,8,39.48,829.08,3/4/2019,20:39,Cash,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,13.83 $,2,1.537,32.277,3/16/2019,19:47,Cash,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,89.26 $,4,18.792,394.632,3/9/2019,18:00,Cash,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,49.32 $,9,25.5105,535.7205,2/27/2019,17:24,Credit card,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,19.01 $,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,17.23 $,6,5.679,119.259,2/10/2019,12:45,Credit card,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,78.5 $,10,41.315,867.615,3/19/2019,17:08,Ewallet,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,78.6 $,7,31.99,671.79,2/3/2019,10:19,Cash,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,37.46 $,5,11.1475,234.0975,2/10/2019,15:10,Cash,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,15.9 $,4,3.574,75.054,3/22/2019,14:42,Ewallet,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,13.89 $,1,0.7715,16.2015,1/25/2019,15:46,Credit card,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,,14.71 $,2,1.616,33.936,3/7/2019,11:49,Ewallet,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,76.52 $,8,34.392,722.232,2/28/2019,19:01,Cash,8.2
106-35-6779,A,Yangon,,Male,Home and lifestyle,44.34,40.79 $,2,4.434,93.114,3/27/2019,11:26,Cash,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,84.22 $,8,35.84,752.64,2/7/2019,11:28,Ewallet,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,62.22 $,10,36.175,759.675,1/20/2019,15:55,Cash,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,,28.77 $,6,9.183,192.843,3/12/2019,20:36,Cash,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,21.03 $,3,3.711,77.931,2/15/2019,17:47,Credit card,10.0
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,50.71 $,6,16.719,351.099,2/24/2019,10:55,Ewallet,7.0
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,51.77 $,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,10.0
199-75-8169,A,Yangon,Member,Male,Sports and travel,,15.18 $,10,7.905,166.005,3/6/2019,12:27,Credit card,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,67.41 $,4,15.148,318.108,2/14/2019,14:35,Cash,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,15.24 $,10,7.935,166.635,3/13/2019,16:40,Cash,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,,29.45 $,2,3.347,70.287,2/10/2019,15:43,Ewallet,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,,83.94 $,6,29.283,614.943,1/7/2019,15:01,Ewallet,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,70.89 $,10,39.385,827.085,1/24/2019,10:04,Cash,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,16.13 $,1,0.9165,19.2465,2/2/2019,18:50,Cash,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,,85.9 $,10,44.74,939.54,1/6/2019,12:46,Credit card,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,57.77 $,10,31.06,652.26,2/11/2019,16:19,Cash,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,41.73 $,3,7.278,152.838,3/5/2019,18:17,Ewallet,4.0
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,63.76 $,6,22.773,478.233,3/9/2019,18:21,Cash,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,65.71 $,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,36.65 $,10,20.825,437.325,1/13/2019,17:04,Credit card,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,,43.16 $,9,22.068,463.428,1/9/2019,14:20,Credit card,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,19.21 $,9,9.0045,189.0945,1/12/2019,15:48,Credit card,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,72.05 $,10,39.155,822.255,3/5/2019,16:24,Ewallet,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,17.53 $,5,5.095,106.995,1/22/2019,18:56,Cash,6.0
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,88.28 $,6,29.757,624.897,1/21/2019,14:42,Credit card,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,84.11 $,3,14.502,304.542,1/26/2019,19:56,Ewallet,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,18.48 $,8,7.7,161.7,1/23/2019,18:37,Ewallet,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,70.72 $,4,16.072,337.512,2/23/2019,18:45,Credit card,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,41.57 $,5,12.2275,256.7775,3/9/2019,10:17,Cash,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,79.74 $,7,29.071,610.491,3/5/2019,14:31,Ewallet,4.0
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,,68.87 $,5,19.13,401.73,3/25/2019,10:23,Cash,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,47.4 $,7,17.283,362.943,3/27/2019,20:35,Credit card,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,,40.77 $,1,2.1235,44.5935,1/2/2019,16:57,Cash,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,70.83 $,6,23.097,485.037,2/27/2019,17:55,Cash,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,40.27 $,4,9.476,198.996,1/23/2019,10:25,Cash,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,38.58 $,10,22.43,471.03,1/26/2019,19:54,Ewallet,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,19.78 $,7,7.693,161.553,1/10/2019,16:42,Ewallet,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,59.21 $,9,28.962,608.202,3/12/2019,12:09,Credit card,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,79.88 $,1,4.4875,94.2375,2/6/2019,20:05,Credit card,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,91.33 $,1,4.858,102.018,3/8/2019,20:38,Ewallet,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,,83.48 $,10,43.935,922.635,3/29/2019,10:25,Ewallet,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,11.7 $,6,3.735,78.435,2/9/2019,13:11,Cash,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,45.89 $,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,69.47 $,6,24.81,521.01,3/5/2019,18:14,Cash,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,45.79 $,1,2.4355,51.1455,3/26/2019,19:20,Cash,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,,66.77 $,9,35.3475,742.2975,3/1/2019,13:22,Cash,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,20.3 $,9,10.3815,218.0115,2/1/2019,11:27,Cash,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,53.6 $,6,17.478,367.038,3/28/2019,16:44,Cash,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,26.71 $,7,10.6225,223.0725,3/19/2019,18:19,Cash,8.0
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,75.37 $,10,44.335,931.035,1/12/2019,14:50,Ewallet,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,26.28 $,6,8.214,172.494,1/5/2019,20:54,Credit card,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,,54.67 $,6,18.639,391.419,3/22/2019,20:19,Cash,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,31.26 $,9,15.291,321.111,3/24/2019,10:43,Cash,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,72.95 $,10,40.985,860.685,3/3/2019,14:30,,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,14.35 $,2,1.649,34.629,2/5/2019,11:32,Ewallet,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,85.44 $,3,14.7315,309.3615,2/5/2019,10:41,Credit card,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,69.93 $,7,25.494,535.374,2/15/2019,12:44,Cash,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,54.01 $,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,71.9 $,9,36.3555,763.4655,2/1/2019,20:31,Credit card,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,23.24 $,3,4.053,85.113,3/2/2019,13:01,Credit card,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,19.09 $,5,5.485,115.185,3/5/2019,12:29,Ewallet,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,43.66 $,1,2.568,53.928,1/16/2019,15:26,Ewallet,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,9.86 $,10,5.48,115.08,2/2/2019,20:48,Ewallet,6.0
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,47.03 $,2,5.344,112.224,1/20/2019,20:38,Ewallet,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,90.6 $,8,39.824,836.304,2/14/2019,17:03,Credit card,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,49.69 $,7,19.992,419.832,1/12/2019,12:02,Credit card,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,83.97 $,9,44.982,944.622,3/9/2019,17:26,Credit card,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,56.24 $,8,25.564,536.844,3/13/2019,19:52,Credit card,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,50.82 $,8,22.588,474.348,3/9/2019,14:57,Ewallet,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,85.26 $,7,32.7915,688.6215,3/10/2019,18:44,Credit card,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,29.99 $,5,8.0625,169.3125,1/27/2019,13:26,Cash,9.0
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,30.46 $,9,14.2785,299.8485,1/8/2019,16:17,Credit card,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,57.57 $,8,27.416,575.736,1/8/2019,15:57,Ewallet,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,82.15 $,9,40.626,853.146,2/8/2019,11:15,Ewallet,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,37.24 $,7,13.867,291.207,1/25/2019,13:18,Cash,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,82.0 $,6,27.639,580.419,3/6/2019,20:34,Cash,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,30.31 $,4,6.968,146.328,2/10/2019,18:36,Cash,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,76.96 $,6,26.235,550.935,2/17/2019,14:40,Credit card,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,69.1 $,6,24.39,512.19,3/8/2019,16:43,Ewallet,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,83.9 $,3,13.533,284.193,2/18/2019,19:39,Cash,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,,24.21 $,5,6.5775,138.1275,1/18/2019,20:59,Credit card,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,32.7 $,6,10.326,216.846,2/18/2019,15:39,Cash,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,46.72 $,10,25.955,545.055,2/16/2019,12:21,Cash,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,,64.53 $,8,29.0,609.0,3/16/2019,19:25,Ewallet,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,83.51 $,10,44.9,942.9,1/23/2019,13:00,Credit card,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,82.36 $,10,45.25,950.25,1/25/2019,13:48,Cash,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,63.11 $,10,34.3,720.3,2/5/2019,19:57,Cash,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,26.76 $,1,1.5205,31.9305,2/22/2019,10:36,Credit card,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,70.93 $,6,23.385,491.085,1/21/2019,16:37,Ewallet,8.0
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,42.56 $,6,13.878,291.438,3/8/2019,17:11,Credit card,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,26.82 $,10,15.07,316.47,2/10/2019,12:28,Ewallet,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,62.17 $,4,13.228,277.788,3/19/2019,12:46,Credit card,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,65.39 $,8,28.744,603.624,3/6/2019,15:07,Credit card,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,30.84 $,8,12.984,272.664,3/27/2019,13:48,Credit card,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,76.89 $,4,18.308,384.468,3/23/2019,19:20,Credit card,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,31.1 $,7,12.096,254.016,3/11/2019,16:07,Credit card,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,73.25 $,9,37.458,786.618,1/29/2019,11:56,Credit card,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,14.67 $,6,4.944,103.824,2/7/2019,18:23,Ewallet,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,75.3 $,8,32.388,680.148,1/28/2019,13:05,Cash,9.3
782-95-9291,A,Yangon,,Male,Food and beverages,92.29,82.14 $,5,23.0725,484.5225,2/20/2019,15:55,Credit card,9.0
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,67.12 $,1,3.6085,75.7785,1/4/2019,19:40,Cash,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,42.74 $,5,12.57,263.97,3/7/2019,13:58,Ewallet,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,81.66 $,9,43.749,918.729,3/30/2019,14:43,Ewallet,6.0
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,83.12 $,6,28.017,588.357,3/27/2019,19:18,Ewallet,10.0
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,36.27 $,8,17.272,362.712,1/19/2019,19:39,Credit card,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,57.32 $,1,3.1845,66.8745,2/25/2019,16:21,Cash,6.0
101-17-6199,A,Yangon,,Male,Food and beverages,45.79,38.92 $,7,16.0265,336.5565,3/13/2019,19:44,Credit card,7.0
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,72.58 $,2,7.64,160.44,1/30/2019,19:42,Ewallet,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,37.9 $,10,19.95,418.95,2/20/2019,15:24,Credit card,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,37.04 $,8,17.028,357.588,2/25/2019,14:12,Ewallet,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,87.93 $,10,47.79,1003.59,1/16/2019,13:32,Cash,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,90.07 $,10,49.49,1039.29,2/8/2019,16:20,Credit card,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,,44.1 $,6,15.384,323.064,1/19/2019,16:31,Cash,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,66.74 $,7,24.332,510.972,2/1/2019,15:10,Credit card,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,67.21 $,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,67.24 $,5,20.0125,420.2625,1/26/2019,12:45,Credit card,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,17.93 $,8,8.34,175.14,3/3/2019,19:17,Cash,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,47.6 $,6,15.867,333.207,1/19/2019,17:34,Credit card,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,,16.62 $,8,7.916,166.236,1/18/2019,12:04,Ewallet,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,31.81 $,9,15.228,319.788,3/21/2019,16:21,Ewallet,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,20.62 $,8,8.868,186.228,3/3/2019,17:01,Credit card,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,21.16 $,7,7.8785,165.4485,2/13/2019,10:50,Credit card,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,65.01 $,6,22.164,465.444,3/23/2019,19:16,Ewallet,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,81.59 $,3,13.02,273.42,1/28/2019,16:47,Ewallet,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,59.12 $,7,22.491,472.311,2/9/2019,10:00,Cash,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,32.7 $,8,15.388,323.148,1/23/2019,11:51,Cash,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,13.33 $,10,7.75,162.75,3/23/2019,10:55,Ewallet,8.0
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,32.59 $,8,13.724,288.204,1/25/2019,15:00,Ewallet,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,,11.35 $,7,4.319,90.699,3/4/2019,11:19,Credit card,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,16.45 $,3,2.712,56.952,3/5/2019,19:46,Ewallet,8.0
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,90.71 $,8,37.796,793.716,3/3/2019,19:00,Ewallet,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,40.43 $,4,9.294,195.174,2/8/2019,10:53,Cash,7.0
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,63.7 $,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,61.43 $,4,13.962,293.202,1/28/2019,20:50,Credit card,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,66.25 $,3,11.556,242.676,2/11/2019,10:39,Credit card,7.2
437-58-8131,B,Mandalay,,Female,Fashion accessories,73.52,62.49 $,2,7.352,154.392,1/15/2019,13:41,Ewallet,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,83.41 $,9,39.51,829.71,3/16/2019,19:08,Cash,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,24.53 $,4,5.11,107.31,1/26/2019,20:23,Ewallet,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,29.77 $,5,8.1775,171.7275,3/19/2019,11:30,Credit card,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,69.09 $,1,3.7145,78.0045,1/13/2019,19:30,Cash,5.0
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,40.2 $,2,4.37,91.77,3/26/2019,18:03,Cash,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,21.5 $,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,,38.18 $,4,8.3,174.3,3/12/2019,19:58,Credit card,8.2
